Database,Title
ACM,On the Comprehension of Program Comprehension
ACM,SEA: Segment-enrich-annotate paradigm for adapting dialog-based content for improved accessibility
ACM,Scalable Atomic Visibility with RAMP Transactions
ACM,Practical byzantine fault tolerance and proactive recovery
ACM,Parameterized Verification of Asynchronous Shared-Memory systems
ACM,File servers for network-based distributed systems
Scopus,ATOM: Commit Message Generation Based on Abstract Syntax Tree and Hybrid Ranking
Scopus,On the Relevance of Cross-project Learning with Nearest Neighbours for Commit Message Generation
Scopus,Commit message generation for source code changes
Scopus,Commit message generation from code differences using hidden markov models
Scopus,Towards Automatic Generation of Short Summaries of Commits
Scopus,Quality Assurance for Automated Commit Message Generation
Scopus,CoreGen: Contextualized Code Representation Learning for Commit Message Generation
Scopus,Boosting Neural Commit Message Generation with Code Semantic Analysis
Scopus,Unsupervised learning of general-purpose embeddings for code changes
Scopus,Neural-Machine-Translation-Based Commit Message Generation: How Far Are We?
Scopus,ChangeScribe: A Tool for Automatically Generating Commit Messages
Scopus,Learning Human-Written Commit Messages to Document Code Changes
Scopus,Generating Commit Messages from Diffs using Pointer-Generator Network
Scopus,Context-aware Retrieval-based Deep Commit Message Generation
Scopus,ASE 2017 - Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering
Scopus,On Automatically Generating Commit Messages via Summarization of Source Code Changes
Scopus,On Automatic Summarization of What and Why Information in Source Code Changes
Scopus,Explainable software bot contributions: Case study of automated bug fixes
Scopus,Cherry-picking of code commits in long-running multi-release software
Scopus,Towards automatically generating release notes using extractive summarization technique
Scopus,SpojitR: Intelligently Link Development Artifacts
Scopus,Content aware source code change description generation
Scopus,Automatically generating commit messages from diffs using neural machine translation
Scopus,Use of SLAM Technology to Enhance Performance & Accuracy of Bots
Scopus,Code Summarizer
Scopus,Mining Version Control System for Automatically Generating Commit Comment
Scopus,Automatic generation of pull request descriptions
Scopus,Survey of State-of-the-art Automatic Code Comment Generation
Scopus,Exploring User Experience of Automatic Documentation Tools
Scopus,Automatic Release Notes Generation
Scopus,Code to Comment 'Translation': Data Metrics Baselining Evaluation
Scopus,How do developers document database usages in source code?
Scopus,RCLinker: Automated Linking of Issue Reports and Commits Leveraging Rich Contextual Information
Scopus,A Commit Messages-Based Bug Localization for Android Applications
Scopus,Staged tree matching for detecting code move across files
Scopus,Overview of Mining Software Repositories
Scopus,Interactive refactoring documentation bot
Scopus,Linking source code to untangled change intents
Scopus,Stay Professional and Efficient: Automatically Generate Titles for Your Bug Reports
Scopus,Automatically documenting software artifacts
Scopus,Increasing Precision of Automatically Generated Trace Links
Scopus,Why is my code change abandoned?
Scopus,Aiding comprehension of unit test cases and test suites with stereotype-based tagging
Scopus,Concern-driven Reporting of Software Performance Analysis Results
Scopus,Automated identification of security issues from commit messages and bug reports
Scopus,Poster: A taxonomy of how method stereotypes change
Scopus,CoRA: Decomposing and describing tangled code changes for reviewer
Scopus,Mining Undergraduate Students?_? Code Repositories: Insights from Interdisciplinary Software Projects
Scopus,PriGen: Towards Automated Translation of Android Applications?_? Code to Privacy Captions
Scopus,BugSum: Deep context understanding for bug repor summarization
Scopus,Augmenting Java method comments generation with context information based on neural networks
Scopus,Automatically redocumenting source code with method and class stereotypes
Scopus,Post-literate Programming: Linking discussion and code in software development teams
Scopus,On learning meaningful assert statements for unit test cases
Scopus,Bug localization by learning to rank and represent bug inducing changes
Scopus,Method Execution Reports: Generating Text and Visualization to Describe Program Behavior
Scopus,License Usage and Changes: A Large-Scale Study of Java Projects on GitHub
Scopus,Retrieve and Refine: Exemplar-based Neural Comment Generation
Scopus,Automatically Documenting Unit Test Cases
Scopus,A neural-network based code summarization approach by using source code and its call dependencies
Scopus,Cldiff: Generating concise linked code differences
Scopus,Documenting database usages and schema constraints in database-centric applications
Scopus,Toward the automatic classification of Self-Affirmed Refactoring
Scopus,Why did this code change?
Scopus,Automated Comment Update: How Far are We?
Scopus,Can program synthesis be used to learn merge conflict resolutions? An empirical analysis
Scopus,A neural architecture for generating natural language descriptions from source code changes
Scopus,Deep code comment generation with hybrid lexical and syntactical information
Scopus,Cc2vec: Distributed representations of code changes
Scopus,Action Word Prediction for Neural Source Code Summarization
Scopus,Augmenting commit classification by using fine-grained source code changes and a pre-trained deep neural language model
Scopus,Naturalness of natural language artifacts in software
Scopus,Automatic classification of source code archives by programming language: A deep learning approach
Scopus,The impact of test case summaries on bug fixing performance: An empirical investigation
Scopus,Recommendations for datasets for source code summarization
Scopus,Towards automatically generating block comments for code snippets
Scopus,AI-boosted software automation: learning from human pair programmers
Scopus,How to cherry pick the bug report for better summarization?
Scopus,A Survey of Automatic Generation of Source Code Comments: Algorithms and Techniques
Scopus,Construct bug knowledge graph for bug resolution
Scopus,Decomposing the rationale of code commits: The software developers perspective
Scopus,Automatic Generation of Large-Granularity Pull Request Description
Scopus,A Neural Model for Method Name Generation from Functional Description
Scopus,Automated Documentation of Android Apps
Scopus,Understanding Software Changes: Extracting Classifying and Presenting Fine-Grained Source Code Changes
Scopus,Understanding software changes: Extracting classifying and presenting fine-grained source code changes
Scopus,Towards the Visualization of Usage and Decision Knowledge in Continuous Software Engineering
Scopus,Intelligent software development environments: Integrating natural language processing with the eclipse platform
Scopus,Class Level Code Summarization Based on Dependencies and Micro Patterns
Scopus,Exploranative Code Quality Documents
Scopus,Deep code comment generation
Scopus,Assessing the generalizability of code2vec token embeddings
Scopus,How we refactor and how we document it? On the use of supervised machine learning algorithms to classify refactoring documentation
Scopus,Generating summaries for methods of event-driven programs: An Android case study
Scopus,Predicting Code Context Models for Software Development Tasks
Scopus,A Neural Model for Generating Natural Language Summaries of Program Subroutines
Scopus,Can a chatbot support software engineers with load testing? approach and experiences
Scopus,License usage and changes: a large-scale study on gitHub
Scopus,DEEPLINK: Recovering issue-commit links based on deep learning
Scopus,Studying the usage of text-to-text transfer transformer to support code-related tasks
Scopus,ARENA: An Approach for the Automated Generation of Release Notes
Scopus,Comparing approaches to analyze refactoring activity on software repositories
Scopus,Automatically Generating Descriptive Texts in Logging Statements: How Far Are We?
Scopus,Commit classification using natural language processing: Experiments over labeled datasets
Scopus,Automating app review response generation
Scopus,How to Explain a Patch: An empirical Study of Patch Explanations in Open Source Projects
Scopus,An empirical Study of Architectural Changes in Code Commits
Scopus,Split attention pointer network for source code language modeling
Scopus,Improved Automatic Summarization of Subroutines via Attention to File Context
Scopus,Toward imitating visual attention of experts in software development tasks
Scopus,Project-Level Encoding for Neural Source Code Summarization of Subroutines
Scopus,Software documentation: The practitioners' perspective
Scopus,Learning to describe differences between pairs of similar images
Scopus,Position paper: Experiences on clustering high-dimensional data using pbdR
Scopus,Automatically Extracting Subroutine Summary Descriptions from Unstructured Comments
Scopus,Micro level source code summarization of optimal set of object oriented classes
Scopus,Using Grammar Patterns to Interpret Test Method Name Evolution
Scopus,How to communicate when submitting patches: An empirical study of the Linux kernel
Scopus,A Unified Framework to Learn Program Semantics with Graph Neural Networks
Scopus,Tagging in Assisted Tracing
Scopus,The Classification and Propagation of Program Comments
Scopus,Negative results on mining crypto-API usage rules in android apps
Scopus,A comprehensive model for code readability
Scopus,A Framework of Vulnerable Code Dataset Generation by Open-Source Injection
Scopus,COACOR: Code annotation for code retrieval with reinforcement learning
Scopus,Capturing Source Code Semantics via Tree-based Convolution over API-enhanced AST
Scopus,CPC: Automatically classifying and propagating natural language comments via program analysis
Scopus,Which method-stereotype changes are indicators of code smells?
Scopus,Why My Code Summarization Model Does Not Work: Code Comment Improvement with Category Prediction
Scopus,Software Documentation Issues Unveiled
Scopus,What code is deliberately excluded from test coverage and why?
Scopus,From UI design image to GUI skeleton: A neural machine translator to bootstrap mobile GUI implementation
Scopus,SPIDER: Enabling fast patch propagation in related software repositories
Scopus,An empirical investigation of how and why developers rename identifiers
Scopus,Generating API tags for tutorial fragments from Stack Overflow
Scopus,Tool support for decision and usage knowledge in continuous software engineering
Scopus,JITLine: A simpler better faster finer-grained just-in-time defect prediction
Scopus,On Learning Meaningful Code Changes Via Neural Machine Translation
Scopus,Automating Just-In-Time Comment Updating
Scopus,Summarizing Software Artifacts: A Literature Review
Scopus,An empirical study on the co-occurrence between refactoring actions and Self-Admitted Technical Debt removal
Scopus,Generating Question Titles for Stack Overflow from Mined Code Snippets
Scopus,An exploratory study on automatic architectural change analysis using natural language processing techniques
Scopus,Auxiliary Method for Code Commit Comprehension Based on Core-Class Identification
Scopus,Neural detection of semantic code clones via tree-based convolution
Scopus,Retrieval-based neural source code summarization
Scopus,Predicting defects with latent and semantic features from commit logs in an industrial setting
Scopus,"On the distribution of ""simple stupid bugs"" in unit test files: An exploratory study"
Scopus,A hybrid code representation learning approach for predicting method names
Scopus,Doppio: Tracking UI flows and code changes for app development
Scopus,App-Aware Response Synthesis for User Reviews
Scopus,On-demand developer documentation
Scopus,DCDFNE: Build dataset to evaluate binary codes diffing tools and train deep learning models
Scopus,Decision knowledge triggers in continuous software engineering
Scopus,Anomaly detection in smart grids with imbalanced data methods
Scopus,Statistical machine translation outperforms neural machine translation in software engineering: Why and how
